Team Data Set,Teams Used,MEAN 1-3 F Avg Game Score,MEAN 4-6 F Avg Game Score,MEAN 7-9 F Avg Game Score,MEAN 9-12 F Avg Game Score,MEAN 1-2 D Avg Game Score,MEAN 3-4 D Avg Game Score,MEAN 5-6 D Avg Game Score,MEAN Starting Goalie Avg GSAx,STD 1-3 F Avg Game Score,STD 4-6 F Avg Game Score,STD 7-9 F Avg Game Score,STD 9-12 F Avg Game Score,STD 1-2 D Avg Game Score,STD 3-4 D Avg Game Score,STD 5-6 D Avg Game Score,STD Starting Goalie Avg GSAx
All Teams,288,0.945,0.663,0.456,0.275,0.636,0.406,0.293,0.132,0.199,0.142,0.121,0.111,0.182,0.146,0.133,0.235
Teams that didn't win a round,144,0.914,0.643,0.445,0.265,0.602,0.394,0.275,0.097,0.188,0.14,0.109,0.101,0.175,0.129,0.119,0.233
Teams that won at least 1 round(s),144,0.976,0.682,0.467,0.285,0.671,0.419,0.311,0.166,0.205,0.142,0.131,0.12,0.183,0.161,0.144,0.232
Teams that won only 1 round(s),72,0.972,0.644,0.464,0.275,0.642,0.422,0.28,0.196,0.217,0.143,0.137,0.129,0.17,0.162,0.13,0.229
Teams that won at least 2 round(s),72,0.981,0.72,0.47,0.294,0.7,0.415,0.342,0.136,0.195,0.13,0.126,0.11,0.191,0.162,0.151,0.233
Teams that won only 2 round(s),36,0.937,0.711,0.463,0.29,0.676,0.384,0.336,0.136,0.179,0.145,0.121,0.111,0.19,0.18,0.166,0.221
Teams that won at least 3 round(s),36,1.025,0.729,0.476,0.298,0.724,0.447,0.348,0.135,0.202,0.116,0.132,0.111,0.193,0.137,0.136,0.247
Teams that won only 3 round(s),18,1.024,0.752,0.465,0.258,0.746,0.46,0.289,0.104,0.235,0.134,0.126,0.125,0.18,0.125,0.13,0.23
Teams that won at least 4 round(s),18,1.026,0.706,0.486,0.339,0.702,0.434,0.406,0.166,0.169,0.092,0.14,0.078,0.207,0.151,0.12,0.266
